copyright,date,explanation,media_type,title,url
Michael Miller,2014-01-11,"A broad expanse of glowing gas and dust presents a bird-like visage to astronomers from planet Earth, suggesting its popular moniker - The Seagull Nebula. This portrait of the cosmic bird covers a 1.6 degree wide swath across the plane of the Milky Way, near the direction of Sirius, alpha star of the constellation Canis Major. Of course, the region includes objects with other catalog designations: notably NGC 2327, a compact, dusty emission region with an embedded massive star that forms the bird's head (aka the Parrot Nebula, above center). Dominated by the reddish glow of atomic hydrogen, the complex of gas and dust clouds with bright young stars spans over 100 light-years at an estimated 3,800 light-year distance.",image,The Seagull Nebula,https://apod.nasa.gov/apod/image/1401/IC2177v4_miller950.jpg
 Cary & Michael Huang ,2014-01-12,"What does the universe look like on small scales? On large scales?  Humanity is discovering that the universe is a very different place on every proportion that has been explored. For example, so far as we know, every tiny proton is exactly the same, but every huge galaxy is different. On more familiar scales, a small glass table top to a human is a vast plane of strange smoothness to a dust mite -- possibly speckled with cell boulders. Not all scale lengths are well explored -- what happens to the smallest mist droplets you sneeze, for example, is a topic of active research -- and possibly useful to know to help stop the spread of disease. The above interactive flash animation, a modern version of the classic video Powers of Ten, is a new window to many of the known scales of our universe.  By moving the scroll bar across the bottom, you can explore a diversity of sizes, while clicking on different items will bring up descriptive information.",other,The Scale of the Universe - Interactive,nan
nan,2014-01-13,"What would it be like to visit the Moon? The first major fictional cinematic film exploring this enduring transcultural fantasy was titled Le voyage dans la lune (A Trip to the Moon) and made in 1902, becoming one of the most popular movies of the early years of the twentieth century. The silent film starred the filmmaker Georges Melies himself and portrayed a club of astronomers voyaging to the Moon and back. Pictured above is a frame from the movie that has become an enduring icon for both film and space. Alluding to a bullseye trajectory, the Man in the Moon is caricatured as being struck by the human-built spaceship. The entire 14-minute film is now freely available. Visiting the Moon remained a very popular topic even 67 years later in 1969 when humans first made an actual voyage.",image,A Trip to the Moon,https://apod.nasa.gov/apod/image/1401/mooneyecon_melies_960.jpg
Yuri Beletsky,2014-01-14,"Is the night sky darkest in the direction opposite the Sun? No. In fact, a rarely discernable faint glow known as the gegenschein (German for counter glow) can be seen 180 degrees around from the Sun in an extremely dark sky. The gegenschein is sunlight back-scattered off small interplanetary dust particles.  These dust particles are millimeter sized splinters from asteroids and orbit in the ecliptic plane of the planets.  Pictured above from last year is one of the more spectacular pictures of the gegenschein yet taken. Here a deep exposure of an extremely dark sky over  Las Campanas Observatory in Chile shows the gegenschein so clearly that even a surrounding glow is visible.   Notable background objects include the Andromeda galaxy, the Pleiades star cluster, the California Nebula, the belt of Orion just below the Orion Nebula and inside Barnard's Loop, and bright stars Rigel and Betelgeuse. The gegenschein is distinguished from zodiacal light near the Sun by the high angle of reflection.  During the day, a phenomenon similar to the gegenschein called the glory can be seen in reflecting air or clouds opposite the Sun from an airplane.",image,The Gegenschein Over Chile,https://apod.nasa.gov/apod/image/1401/gegenschein_beletsky_960.jpg
nan,2014-01-15,"Few cosmic vistas excite the imagination like the Orion Nebula, an immense stellar nursery some 1,500 light-years away. This stunning false-color view spans about 40 light-years across the region, constructed using infrared data from the Spitzer Space Telescope. Compared to its visual wavelength appearance, the brightest portion of the nebula is likewise centered on Orion's young, massive, hot stars, known as the Trapezium Cluster. But the infrared image also detects the nebula's many protostars, still in the process of formation, seen here in red hues. In fact, red spots along the dark dusty filament to the left of the bright cluster include the protostar cataloged as HOPS 68, recently found to have crystals of the silicate mineral olivine within its protostellar envelope.",image,Spitzer's Orion,https://apod.nasa.gov/apod/image/1401/orion_spitzerR600h.jpg
nan,2014-01-16,"Despina is a tiny moon of Neptune. A mere 148 kilometers across, diminutive Despina was discovered in 1989, in images from the Voyager 2 spacecraft taken during its encounter with the solar system's most distant gas giant planet. But looking through the Voyager 2 data 20 years later, amateur image processor and philosophy professor Ted Stryk discovered something no one had recognized before -- images that show the shadow of Despina in transit across Neptune's blue cloud tops. His composite view of Despina and its shadow is composed of four archival frames taken on August 24, 1989, separated by nine minutes. Despina itself has been artificially brightened to make it easier to see. In ancient Greek mythology, Despina is a daughter of Poseidon, the Roman god Neptune.",image,"Despina, Moon of Neptune",https://apod.nasa.gov/apod/image/1401/neptune_despina_transit_combo_despinabrightened.jpg
"ARI-ZAH, Univ.  Heidelberg",2014-01-17,"Big, bright, and beautiful, spiral galaxy M83 lies a mere twelve million light-years away, near the southeastern tip of the very long constellation Hydra. This deep view of the gorgeous island universe includes observations from Hubble, along with ground based data from the European Southern Observatory's very large telescope units, National Astronomical Observatory of Japan's Subaru telescope, and Australian Astronomical Observatory photographic data by D. Malin. About 40,000 light-years across, M83 is popularly known as the Southern Pinwheel for its pronounced spiral arms. But the wealth of reddish star forming regions found near the edges of the arms' thick dust lanes, also suggest another popular moniker for M83, the Thousand-Ruby Galaxy. Arcing near the top of the novel cosmic portrait lies M83's northern stellar tidal stream, debris from the gravitational disruption of a smaller, merging satellite galaxy. The faint, elusive star stream was found in the mid 1990s by enhancing photographic plates.",image,M83 Star Streams,https://apod.nasa.gov/apod/image/1401/M83StarstreamGendlerS.jpg
Rick Baldridge,2014-01-18,"This big, bright, beautiful Full Moon rose over Lick Observatory Wednesday night. Traditionally a full moon in January might be called the Wolf Moon. But this moon reached its full phase on January 16, 4:54 UT, within about 2 hours of apogee, the most distant point in its elliptical orbit around planet Earth. That also makes it the smallest full moon of 2014. Of course the difference in apparent size between the largest and smallest full moons is hard to see, because the difference in distance between lunar apogee and perigee, or closest point in the Moon's orbit, is only about 50,000 kilometers, while the Moon's average distance is around 385,000 kilometers. Though not by much, this apogee's full moon was also the smallest full moon of the last 1,000 years. It will keep that distinction until a slightly smaller full moon occurs close to apogee in 2154.",image,Apogee's Full Moon,https://apod.nasa.gov/apod/image/1401/2014LickFM_baldridge900.jpg
nan,2014-01-19,"Billions of years from now, only one of these two galaxies will remain.  Until then, spiral galaxies NGC 2207 and IC 2163 will slowly pull each other apart, creating tides of matter, sheets of shocked gas, lanes of dark dust, bursts of star formation, and streams of cast-away stars.  Astronomers predict that NGC 2207, the larger galaxy on the left, will eventually incorporate IC 2163, the smaller galaxy on the right.  In the most recent encounter that about peaked 40 million years ago, the smaller galaxy is swinging around counter-clockwise, and is now slightly behind the larger galaxy.  The space between stars is so vast that when galaxies collide, the stars in them usually do not collide.",image,Spiral Galaxies in Collision,https://apod.nasa.gov/apod/image/1401/ngc2207_hubble_960.jpg
nan,2014-01-20,"How large do things appear when far away? When peering across the universe, the answer can actually tell us about its average gravitational history and hence its composition.  Toward this goal, the Baryon Oscillation Spectroscopic Survey (BOSS) of the Sloan Digital Sky Survey-III (SDSS-III) has measured slight recurring density enhancements in galaxy densities up to six billion light years away (redshift 0.7), when the universe was about half its current age. These density ripples are known as baryon acoustic oscillations (BAOs) and are expected to emerge from the early universe at a known size scale.  BOSS's measurements of this size scale indicate a strong universe component of dark energy, and so bolsters previous indications of this unusual composition. Pictured above is an artist's illustration depicting exaggerated BAOs in the distant universe.",image,Baryon Acoustic Oscillations from SDSS-III,https://apod.nasa.gov/apod/image/1401/onepercent_boss_960.jpg
nan,2014-01-21,"Did you see the big, bright, beautiful Full Moon last Wednesday night? That was actually a Micro Moon! On that night, the smallest Full Moon of 2014 reached its full phase only a few hours from lunar apogee, the time of its the most distant point from Earth in the Moon's elliptical orbit. Of course, last year on the night of June 22, a Full Super Moon was near perigee, the closest point in its orbit. The relative apparent size of January 15's Micro Moon is compared to the June 22 Super Moon in the above composite image digitally superimposing telescopic images from Perugia, Italy. The difference in apparent size represents a difference in distance of just under 50,000 kilometers between apogee and perigee, given the Moon's average distance of about 385,000 kilometers. How long do you have to wait to see another Full Micro Moon? Until March 5, 2015, when the lunar full phase will again occur within a few hours of lunar apogee.",image,Micro Moon over Super Moon,https://apod.nasa.gov/apod/image/1401/microsupermoon_sciarpetti_960.jpg
nan,2014-01-22,"Yes, but can your blizzard do this? In Upper Michigan's Storm of the Century in 1938, some snow drifts reached the level of utility poles. Nearly a meter of new and unexpected snow fell over two days in a storm that started 76 years ago tomorrow.  As snow fell and gale-force winds piled snow to surreal heights; many roads became not only impassable but unplowable; people became stranded; cars, school buses and a train became mired; and even a dangerous fire raged. Fortunately only two people were killed, although some students were forced to spend several consecutive days at school.  The above image was taken by a local resident soon after the storm. Although all of this snow eventually melted, repeated snow storms like this help build lasting glaciers in snowy regions of our planet Earth.   Budget Universe: Free APOD 2014 Calendar in PDF format",image,The Upper Michigan Blizzard of 1938,https://apod.nasa.gov/apod/image/1401/snowpoles_brinkman_960.jpg
Fabian Neyer,2014-01-23,"This lovely starfield spans some seven full moons (about 3.5 degrees) across the heroic northern constellation of Perseus. Just right of center it holds the famous pair of open or galactic star clusters, h and Chi Persei. Also cataloged as NGC 869 (right) and NGC 884, both clusters are about 7,000 light-years away and contain stars much younger and hotter than the Sun.  Separated by only a few hundred light-years, the clusters are both 13 million years young based on the ages of their individual stars, evidence that they were likely a product of the same star-forming region. Always a rewarding sight in binoculars, the Double Cluster is even visible to the unaided eye from dark locations. Not seen in binoculars though, and not often depicted in telescopic images of the region are faint clouds of reddish ionized hydrogen gas found throughout this remarkable cosmic skyscape. A color composite, the image includes narrowband data to enhance emission from the hydrogen clouds. Visible toward the upper left of the wide field of view is another, smaller open star cluster, NGC 957, also of similar age, distance, and possibly related to the more famous Double Cluster in Perseus.",image,Double Cluster in Perseus,https://apod.nasa.gov/apod/image/1401/hchi_FNeyer_large0.jpg
Adam Block,2014-01-24,"Astronomers really don't find supernovae by looking for the arrows. But in this image taken January 23rd, an arrow does point to an exciting, new supernova, now cataloged as SN 2014J, in nearby bright galaxy M82. Located near the Big Dipper in planet Earth's sky, M82 is also known as the Cigar Galaxy, a popular target for telescopes in the northern hemisphere. In fact, SN 2014J was first spotted as an unfamiliar source in the otherwise familiar galaxy by teaching fellow Steve Fossey and astronomy workshop students Ben Cooke, Tom Wright, Matthew Wilde and Guy Pollack at the University College London Observatory on the evening of January 21. M82 is a mere 12 million light-years away (so the supernova explosion did happen 12 million years ago, that light just now reaching Earth), making supernova SN 2014J one of the closest to be seen in recent decades. Spectra indicate it is a Type Ia supernova caused by the explosion of a white dwarf accreting matter from a companion star. By some estimates one week away from its maximum brightness, SN 2014J is already the brightest part of M82 and visible in small telescopes in the evening sky.   Gallery: Supernova in M82",image,Bright Supernova in M82,https://apod.nasa.gov/apod/image/1401/M82SN_ArrowBlock950.jpg
nan,2014-01-25,"On January 25 (UT) 2004, the Opportunity rover fell to Mars, making today the 10th anniversary of its landing. After more than 3,500 sols (Mars solar days) the golf cart-sized robot from Earth is still actively exploring the Red Planet, though its original mission plan was for three months. This self-portrait was made with Opportunity's panoramic camera earlier this month. The camera's supporting mast has been edited out of the image mosaic but its shadow is visible on the dusty solar panels arrayed across the rover's deck. For comparison, a similar self-portrait from late 2004 is shown in the inset. Having driven some 39 kilometers (24 miles) from its landing site, Opportunity now rests at Solander Point at the rim of Endeavour Crater.",image,Opportunity's Decade on Mars,https://apod.nasa.gov/apod/image/1401/PIA17759_r950inset.jpg
nan,2014-01-26,"It was a quiet day on the Sun. The above image shows, however, that even during off days the Sun's surface is a busy place.  Shown in ultraviolet light, the relatively cool dark regions have temperatures of thousands of degrees Celsius.  Large sunspot group AR 9169 from the last solar cycle is visible as the bright area near the horizon.  The bright glowing gas flowing around the sunspots has a temperature of over one million degrees Celsius.  The reason for the high temperatures is unknown but thought to be related to the rapidly changing magnetic field loops that channel solar plasma.  Large sunspot group AR 9169 moved across the Sun during 2000 September and decayed in a few weeks.",image,Sunspot Loops in Ultraviolet,https://apod.nasa.gov/apod/image/1401/sunspotloops_trace_960.jpg
 Nicholas Buer ,2014-01-27,"There is a road that connects the Northern to the Southern Cross but you have to be at the right place and time to see it. The road, as pictured above, is actually the central band of our Milky Way Galaxy; the right place, in this case, is dark Laguna Cejar in Salar de Atacama of Northern Chile; and the right time was in early October, just after sunset. Many sky wonders were captured then, including the bright Moon, inside the Milky Way arch;  Venus, just above the Moon; Saturn and Mercury, just below the Moon; the Large and Small Magellanic Clouds satellite galaxies, on the far left; red airglow near the horizon on the image left; and the lights of small towns at several locations across the horizon.  One might guess that composing this 30-image panorama would have been a serene experience, but for that one would have required earplugs to ignore the continued brays of wild donkeys.    Follow APOD on: Instagram",image,From the Northern to the Southern Cross,https://apod.nasa.gov/apod/image/1401/chilepan_buer_1400.jpg
nan,2014-01-28,"M83 is one of the closest and brightest spiral galaxies on the sky. Visible with binoculars in the constellation of Hydra, majestic spiral arms have prompted its nickname as the Southern Pinwheel. Although discovered 250 years ago, only much later was it appreciated that M83 was not a nearby gas cloud, but a barred spiral galaxy much like our own Milky Way Galaxy.  M83, pictured above by the Hubble Space Telescope in a recently released image, is a prominent member of a group of galaxies that includes Centaurus A and NGC 5253, all of which lie about 15 million light years distant.  Several bright supernova explosions have been recorded in M83.  An intriguing double circumnuclear ring has been discovered at the center of of M83.   Organize Your Universe: Free APOD 2014 Calendar in PDF format",image,Spiral Galaxy M83: The Southern Pinwheel,https://apod.nasa.gov/apod/image/1401/m83_hubble_960.jpg
nan,2014-01-29,"What if a rock that looked like a jelly donut suddenly appeared on Mars? That's just what happened in front of the robotic Opportunity rover currently exploring the red planet. The unexpectedly placed rock, pictured above, was imaged recently by Opportunity after not appearing in other images taken as recently as twelve Martian days (sols) before. Given the intriguing mystery, the leading explanation is somewhat tame -- the rock was recently scattered by one of the rover's tires. Even so, the rock's unusual light tones surrounding a red interior created interest in its composition -- as well as causing it to be nicknamed Jelly Donut.  A subsequent chemical analysis showed the rock has twice the abundance of manganese than any other rock yet examined -- an unexpected clue that doesn't yet fit into humanity's understanding of the Martian geologic history.  Opportunity, just passing its 10th anniversary on Mars, continues to explore the Murray Ridge section of the rim of 22-kilometer wide Endeavor Crater.",image,Jelly Donut Shaped Rock Appears on Mars,https://apod.nasa.gov/apod/image/1401/JellyDonutRock_opportunity_960.jpg
Mike Killian,2014-01-30,"Fixed to a tripod and looking east across the Kennedy Space Center's Turn Basin, a camera captured these star trails as a series of short exposures over a three hour period on the evening of January 23rd. Positioned just a few miles from Space Launch Complex 41 at Cape Canaveral Air Force Station, it also captured a spectacular night launch of an Atlas V rocket carrying NASA's Tracking and Data Relay Satellite TDRS-L. Creating the trails, the apparent motion of the stars through the sky is just a reflection of the daily rotation of planet Earth on its axis. But that rotation is also the reason the rocket streak follows a path arcing east across the Atlantic. Launching toward the east, in the direction of Earth's rotation, adds the rotation velocity to the rocket and reduces the fuel needed to reach orbit. A little ironically, TDRS-L is destined for a geostationary orbit. From there, 36,000 kilometers or so above the equator, its orbital period will match Earth's rotation and the satellite will hang motionless in planet Earth's sky.",image,Rocket Streak and Star Trails,https://apod.nasa.gov/apod/image/1401/RocketStarTrailsKillian950.jpg
Janne Voutilainen,2014-01-31,"erie pillars of light ring the edges of this snowy little planet. Of course the little planet is planet Earth, shown in a nadir-to-zenith, around-the-horizon, little planet projection. The spherical panoramic image mosaic maps a view from Siilinjärvi in eastern Finland. Flat ice crystals, like those more often found in high, thin clouds, are gently fluttering in very cold air near the surface. Pillars of light appear as the crystals' briefly horizontal facets reflect upward directed light from ground sources downward, toward the observer. In fact, the fluttering crystals produce an effect analogous to shimmering columns of moonlight or sunlight reflected by surface waves across water.",image,Light Pillars from a Little Planet,https://apod.nasa.gov/apod/image/1401/LightPillars_JanneVoutilainen950c.jpg
Harel Boren and Tal Faibish,2014-02-01,"Fantastic shapes lurk in clouds of glowing gas in NGC 6188, about 4,000 light-years away. The emission nebula is found near the edge of a large molecular cloud unseen at visible wavelengths, in the southern constellation Ara. Massive, young stars of the embedded Ara OB1 association were formed in that region only a few million years ago, sculpting the dark shapes and powering the nebular glow with stellar winds and intense ultraviolet radiation. The recent star formation itself was likely triggered by winds and supernova explosions, from previous generations of massive stars, that swept up and compressed the molecular gas. Joining NGC 6188 on this cosmic canvas is rare emission nebula NGC 6164, also created by one of the region's massive O-type stars. Similar in appearance to many planetary nebulae, NGC 6164's striking, symmetric gaseous shroud and faint halo surround its bright central star near the bottom edge. The impressively wide field of view spans over 3 degrees (six full Moons), corresponding to over 200 light years at the estimated distance of NGC 6188. Narrowband image data has been included in the natural looking color composite, adding to deep red emission from hydrogen and sulfur atoms and the blue-green light of oxygen atoms.",image,NGC 6188 and NGC 6164,https://apod.nasa.gov/apod/image/1402/ngc6188_boren950.jpg
" Wally Pacholka  (Astropics, TWAN)  ",2014-02-02,"Welcome to The World At Night. Sharing the night sky seen around the world, this view from Monument Valley, USA includes a picturesque foreground of famous buttes. Buttes are composed of hard rock left behind after water eroded away the surrounding soft rock.   The two buttes on the image left are known as the Mittens, while Merrick Butte is on the right. Recorded in 2007 December, planet Mars is at the left of the skyscape, a glowing beacon of orange that is the brightest object in the frame.  To the right of Mars lies the constellation of Orion. Betelgeuse is the reddish star near the center and the Belt of Orion and the Orion Nebula are farther right. Finally, the bright blue star Rigel appears above Merrick Butte in this stunning view of  The World At Night.   Follow APOD: On the web and now also on Facebook in Arabic",image,Mars and Orion over Monument Valley,https://apod.nasa.gov/apod/image/1402/monument_pacholka_960.jpg
nan,2014-02-03,"Where has the Yutu rover been on the Moon? Arriving in 2013 mid-December, the Chinese Yutu robotic rover has spent some of the past month and a half exploring Mare Imbrium on Earth's Moon. Because it uses solar power, the mechanical Jade Rabbit goes into sleep mode to endure the two-week long lunar night. Pictured above is a digitally created time-lapse composite panorama showing the region surrounding the Chang'e 3 lander, capturing the desk-sized rover in three positions. On the far right, Yutu is seen heading south to investigate greener pastures, likely never to return to its lander again.   Organize Your Universe: Free APOD 2014 Calendar in PDF format",image,Lunar Time Lapse Panorama including Yutu Rover,https://apod.nasa.gov/apod/image/1402/Change3pan_kremer_5065.jpg
nan,2014-02-04,"If you visit HH 24, don't go near the particle beam jet. This potential future travel advisory might be issued because the powerful jet likely contains electrons and protons moving hundreds of kilometers per second. The above image was taken by the Hubble Space Telescope in infrared light in order to better understand turbulent star forming regions known as Young Stellar Objects (YSOs). Frequently when a star forms, a disk of dust and gas circles the YSO causing a powerful central jets to appear. In this case, the energetic jets are creating, at each end, Herbig-Haro object 24 (HH 24), as they slam into the surrounding interstellar gas.  The entire star forming region lies about 1,500 light years distant in the Orion B molecular cloud complex. Due to their rarity, jets like that forming HH 24 are estimated to last only a few thousand years.",image,A Particle Beam Jet forms HH 24,https://apod.nasa.gov/apod/image/1402/hh24_schmidt_960.jpg
 Robert Gendler ,2014-02-05,"Does spiral galaxy NGC 2683 have a bar across its center? Being so nearly like our own barred Milky Way Galaxy, one might guess it has. Being so nearly edge-on, however, it is hard to tell. Either way, this gorgeous island universe, cataloged as NGC 2683, lies a mere 20 million light-years distant in the northern constellation of the Cat (Lynx). NGC 2683 is seen nearly edge-on in this cosmic vista combining data and images from the ground-based Subaru telescope and the space-based Hubble Space Telescope. More distant galaxies are seen scattered in the background. Blended light from a large population of old yellowish stars forms the remarkably bright galactic core. Starlight silhouettes the dust lanes along winding spiral arms, dotted with the telltale blue glow of young star clusters in this galaxy's star forming regions.",image,NGC 2683: Edge-On Spiral Galaxy,https://apod.nasa.gov/apod/image/1402/ngc2683_gendler_960.jpg
Cui Yongjiang,2014-02-06,"Long after sunset on January 25 an unusually intense red airglow floods this south-looking skyscape. The scene was recorded with a long exposure using a digital camera over Yunnan Province in southwest China. At best faintly visible to the eye, the lingering airglow is due to chemiluminescence, the production of light through chemical excitation. Originating at an altitude similar to aurora, it can found around the globe. The chemical energy is initially provided by the Sun's extreme ultraviolet radiation On this night, despite the luminous atmosphere, the band of the Milky Way clearly stretches above the horizon with bright star Sirius near the top of the frame. Both airglow and starry sky are beautifully reflected in region's watery Yuanyang rice terraces below.",image,The Terraced Night,https://apod.nasa.gov/apod/image/1402/yuanyang_airglow900.jpg
Babak Tafreshi,2014-02-07,"Stars come out as evening twilight fades in this serene skyscape following the Persian proverb Night hides the world, but reveals a universe. In the scene from last November, the Sun is setting over northern Kenya and the night will soon hide the shores of Lake Turkana, home to many Nile crocodiles. That region is also known as the cradle of humankind for its abundance of hominid fossils. A brilliant Venus, then the world's evening star, dominates the starry night above. But also revealed are faint stars, cosmic dust clouds, and glowing nebulae along the graceful arc of our own Milky Way galaxy.",image,Night Hides the World,https://apod.nasa.gov/apod/image/1402/NightHidesTurkanaTafreshi.jpg
